Open,Close,High,Low,Volume,Date
16.71109,16.62485,16.71109,16.58173,,05/14/19
16.76858,16.3853,16.76858,16.3853,209.00,05/13/19
16.76858,16.96022,17.08,16.76858,511.00,05/10/19
16.86919,16.74942,16.86919,16.61048,3,183.00,05/09/19
16.77337,16.84045,16.93148,16.77337,908.00,05/08/19
16.38051,16.64881,16.64881,16.38051,298.00,05/07/19
16.2272,16.27511,16.27511,16.20803,,05/06/19
16.59131,16.53861,16.64881,16.53861,,05/03/19
16.66318,16.58652,16.69193,16.58652,600.00,05/02/19
16.34697,16.6536,16.6536,16.34697,224.00,04/30/19
16.57694,16.46196,16.57694,16.34218,545.00,04/29/19
16.6009,16.47154,16.6009,16.41884,104.00,04/26/19
16.3853,16.62964,16.83566,16.3853,417.00,04/25/19
15.94932,16.16491,16.16491,15.84871,,04/24/19
16.03076,16.0643,16.0643,15.81996,,04/23/19
16.02118,16.0643,16.13617,16.02118,470.00,04/18/19
16.2799,16.09305,16.2799,16.04514,835.00,04/17/19
16.13138,16.23199,16.26073,16.13138,,04/16/19
16.11221,16.05951,16.12658,16.05951,,04/15/19
15.73851,15.99244,15.99244,15.73851,,04/12/19
15.51333,15.7433,15.82954,15.47021,,04/11/19
15.73372,15.4798,15.73372,15.28336,157.00,04/10/19
15.99244,15.73372,15.99244,15.73372,2,818.00,04/09/19
15.96848,16.12179,16.12179,15.95411,,04/08/19
16.17929,16.02597,16.18408,16.02597,,04/05/19
16.04035,16.16491,16.16491,16.03556,,04/04/19
15.9589,15.97806,16.09305,15.9589,,04/03/19
16.08347,15.97327,16.117,15.96848,835.00,04/02/19
15.95411,16.05951,16.10263,15.95411,52.00,04/01/19
15.64269,15.83912,15.83912,15.64269,,03/29/19
16.05472,15.72414,16.05472,15.72414,,03/28/19
15.93015,16.00202,16.00202,15.77205,455.00,03/27/19
15.78642,15.796,15.8008,15.72414,,03/26/19
16.10263,15.82954,16.10263,15.81038,,03/25/19
16.30385,16.20803,16.44758,16.20803,42.00,03/22/19
16.32781,16.25115,16.32781,16.19845,,03/21/19
16.23678,16.43321,16.48591,16.23678,690.00,03/20/19
16.30864,16.3853,16.3853,16.20324,,03/19/19
16.18408,16.25115,16.33739,16.18408,198.00,03/18/19
16.46196,16.31823,16.46196,16.31823,,03/15/19
16.39967,16.438,16.54819,16.39967,209.00,03/14/19
16.46196,16.36614,16.46196,16.34218,,03/13/19
16.64402,16.80691,16.82607,16.64402,230.00,03/12/19
16.38051,16.54819,16.54819,16.38051,,03/11/19
16.6536,16.51945,16.7063,16.51945,,03/08/19
16.62964,16.64881,16.74942,16.62964,,03/07/19
16.59131,16.68234,16.73025,16.59131,,03/06/19
16.59131,16.50508,16.63922,16.438,417.00,03/05/19
17.04167,16.6536,17.04167,16.61527,261.00,03/04/19
17.23331,16.95543,17.25248,16.82607,1,044.00,03/01/19
16.8644,17.26685,17.2908,16.8644,209.00,02/28/19
16.94585,16.83087,16.94585,16.83087,,02/27/19
16.94106,17.06083,17.11833,16.94106,,02/26/19
17.23331,17.1327,17.27643,17.07521,417.00,02/25/19
16.99376,17.13749,17.22373,16.99376,375.00,02/22/19
17.1854,16.94585,17.1854,16.94585,261.00,02/21/19
17.09916,17.26206,17.30039,17.09916,1,169.00,02/20/19
17.20457,17.14707,17.2908,16.99855,1,148.00,02/19/19
17.40579,17.30997,17.40579,17.30997,,02/18/19
17.01292,17.24768,17.24768,16.91231,1,635.00,02/15/19
17.22852,17.04167,17.22852,16.92669,814.00,02/14/19
17.12312,17.28122,17.28122,16.97939,,02/13/19
16.80212,16.85003,16.9171,16.80212,342.00,02/12/19
16.80212,16.83566,16.83566,16.72067,,02/11/19
16.68234,16.78295,16.96022,16.68234,365.00,02/08/19
17.25727,16.73984,17.25727,16.73984,313.00,02/07/19
17.07521,17.30039,17.36746,17.07521,3,345.00,02/06/19
16.55778,16.83566,16.83566,16.53861,,02/05/19
16.59611,16.45237,16.65839,16.45237,,02/04/19
16.61527,16.63443,16.63443,16.47154,,02/01/19
16.57694,16.44758,16.68234,16.44758,762.00,01/31/19
16.64402,16.48112,16.64402,16.48112,157.00,01/30/19
16.56257,16.7063,16.74942,16.46675,,01/29/19
16.63922,16.58173,16.63922,16.50508,,01/28/19
16.52424,16.63922,16.68234,16.52424,,01/25/19
16.73984,16.45717,16.73984,16.43321,934.00,01/24/19
16.33739,16.69193,16.77337,16.32781,1,421.00,01/23/19
15.6906,15.62832,15.796,15.62832,209.00,01/22/19
15.92057,15.72893,15.92057,15.71456,,01/21/19
15.43668,16.03556,16.10742,15.43668,731.00,01/18/19
15.29295,15.3169,15.3696,15.23066,2,181.00,01/17/19
15.27378,15.33607,15.33607,15.13484,,01/16/19
15.43189,15.22108,15.43189,15.13963,,01/15/19
14.98153,15.39835,15.39835,14.98153,52.00,01/14/19
15.15401,15.0534,15.2115,15.02465,,01/11/19
15.09651,15.0534,15.09651,15.0534,,01/10/19
15.13484,15.22587,15.28336,15.13484,,01/09/19
14.71323,15.08214,15.11568,14.71323,,01/08/19
14.58867,14.54076,14.58867,14.44014,,01/07/19
14.39223,14.54076,14.54076,14.23413,,01/04/19
13.985,14.3012,14.32516,13.985,,01/03/19
14.08561,14.01374,14.08561,13.93709,42.00,01/02/19
14.04249,14.34912,14.34912,14.04249,,12/28/18
13.85564,13.82689,14.08561,13.82689,110.00,12/27/18
14.16706,14.06165,14.21018,13.83648,,12/21/18
13.98021,14.14789,14.25329,13.98021,,12/20/18
13.985,14.36349,14.36349,13.985,,12/19/18
14.14789,14.12394,14.14789,13.82689,626.00,12/18/18
14.25809,14.02812,14.36349,14.02812,285.00,12/17/18
14.4114,14.32037,14.43535,14.24371,216.00,12/14/18
14.49285,14.60783,14.62699,14.41619,5,359.00,12/13/18
14.17185,14.50722,14.50722,14.17185,,12/12/18
14.05686,14.3587,14.5168,14.05686,271.00,12/11/18
13.79336,14.15747,14.15747,13.79336,,12/10/18
13.95146,14.06165,14.19101,13.81731,,12/07/18
14.25329,13.89397,14.25329,13.75982,470.00,12/06/18
14.26288,14.36349,14.55992,14.26288,,12/05/18
14.33953,14.71323,14.92883,14.33953,,12/04/18
15.57083,14.06165,15.57083,14.06165,240.00,12/03/18
15.70018,15.34565,15.70018,15.23545,,11/30/18
16.20803,15.76726,16.20803,15.76726,,11/29/18
16.04514,16.11221,16.17929,15.91099,,11/28/18
15.7433,15.91578,15.98765,15.7433,,11/27/18
16.01639,15.79121,16.05472,15.69539,,11/26/18
